key,value,date
Female,12,1900
Female,11,1901
Female,10,1902
Female,16,1903
Female,14,1904
Female,10,1905
Female,12,1906
Female,12,1907
Female,11,1908
Female,12,1909
Female,11,1910
Female,13,1911
Female,14,1912
Female,7,1913
Female,8,1914
Female,10,1915
Female,10,1916
Female,11,1917
Female,12,1918
Female,9,1919
Female,18,1920
Female,12,1921
Female,10,1922
Female,17,1923
Female,15,1924
Female,15,1925
Female,21,1926
Female,13,1927
Female,16,1928
Female,25,1929
Female,23,1930
Female,23,1931
Female,17,1932
Female,13,1933
Female,19,1934
Female,17,1935
Female,16,1936
Female,22,1937
Female,30,1938
Female,22,1939
Female,33,1940
Female,33,1941
Female,39,1942
Female,32,1943
Female,29,1944
Female,31,1945
Female,46,1946
Female,30,1947
Female,38,1948
Female,32,1949
Female,29,1950
Female,32,1951
Female,31,1952
Female,35,1953
Female,26,1954
Female,30,1955
Female,24,1956
Female,33,1957
Female,33,1958
Female,30,1959
Female,34,1960
Female,34,1961
Female,22,1962
Female,36,1963
Female,38,1964
Female,37,1965
Female,35,1966
Female,39,1967
Female,29,1968
Female,30,1969
Female,28,1970
Female,41,1971
Female,32,1972
Female,18,1973
Female,22,1974
Female,29,1975
Female,22,1976
Female,21,1977
Female,11,1978
Female,14,1979
Female,10,1980
Female,15,1981
Female,10,1982
Female,12,1983
Female,4,1984
Female,6,1985
Female,4,1986
Female,6,1987
Female,2,1988
Female,1,1989
Female,1,1990
Female,1,1991
Female,0,1992
Female,0,1993
Female,0,1994
Female,0,1995
Female,0,1996
Female,0,1997
Female,0,1998
Female,0,1999
Female,0,2000
Female,0,2001
Female,0,2002
Female,0,2003
Female,0,2004
Female,0,2005
Female,0,2006
Female,0,2007
Female,0,2008
Female,0,2009
Female,0,2010
Female,0,2011
Female,0,2012
Female,0,2014
Female,0,2015
Female,0,2016
Female,0,2017
